Counts_Epoch_0,ExpVal_0,t_exp_0,bgr_0,Counts_Epoch_1,ExpVal_1,t_exp_1,bgr_1,Counts_Epoch_2,ExpVal_2,t_exp_2,bgr_2,Counts_Epoch_3,ExpVal_3,t_exp_3,bgr_3,Counts_Epoch_4,ExpVal_4,t_exp_4,bgr_4,Counts_Epoch_5,ExpVal_5,t_exp_5,bgr_5,Counts_Epoch_6,ExpVal_6,t_exp_6,bgr_6,Counts_Epoch_7,ExpVal_7,t_exp_7,bgr_7,Counts_Epoch_8,ExpVal_8,t_exp_8,bgr_8,Counts_Epoch_9,ExpVal_9,t_exp_9,bgr_9,CR_mean
2,1.0500445572898458,98124509242214.84,0.7425875,3,1.6840965584384682,99081259761639.48,0.74808127,0,0.7796174470831544,98478138832218.48,0.4647747,5,3.0036762965081256,98930211700001.5,2.5119636,6,4.895008226933342,97117703133197.31,2.8792965,5,4.1034930344901825,98304050900303.19,0.7607125,4,2.236027372053051,96478092700272.03,0.47435173,3,2.2544616889743168,98631003228746.28,0.8042819,13,13.646147138750765,99345656858219.73,0.81448555,4,3.9971731775715247,99076560632717.61,0.8501727,4.5751831288449646e-14
2,3.051994954816127,98124509242214.84,0.7425875,3,1.2119913024455546,99081259761639.48,0.74808127,2,2.1206260482723787,98478138832218.48,0.4647747,4,3.5810006324149146,98930211700001.5,2.5119636,3,5.862242168077385,97117703133197.31,2.8792965,5,3.3192726030144355,98304050900303.19,0.7607125,3,2.210388660100757,96478092700272.03,0.47435173,3,1.9191134087649269,98631003228746.28,0.8042819,4,7.498515294437123,99345656858219.73,0.81448555,2,1.2023979257275972,99076560632717.61,0.8501727,3.151792822093198e-14
3,2.086352745487008,98124509242214.84,0.7425875,3,2.715923871462155,99081259761639.48,0.74808127,0,0.7434297542637556,98478138832218.48,0.4647747,6,3.606519785842334,98930211700001.5,2.5119636,3,3.588590710320498,97117703133197.31,2.8792965,0,1.8914247080157482,98304050900303.19,0.7607125,4,3.89346315680782,96478092700272.03,0.47435173,1,2.4623058050344713,98631003228746.28,0.8042819,1,1.3053612399504004,99345656858219.73,0.81448555,4,2.1133765983687143,99076560632717.61,0.8501727,2.5417684049138693e-14
6,6.887821193698901,98124509242214.84,0.7425875,1,2.108379194161212,99081259761639.48,0.74808127,0,1.2838794766221264,98478138832218.48,0.4647747,6,3.2315178435303054,98930211700001.5,2.5119636,5,3.0435637399958293,97117703133197.31,2.8792965,5,2.8885939296898164,98304050900303.19,0.7607125,7,8.418643949843215,96478092700272.03,0.47435173,2,3.6340576748702174,98631003228746.28,0.8042819,3,2.579370339015082,99345656858219.73,0.81448555,0,2.504059691388222,99076560632717.61,0.8501727,3.558475766879417e-14
1,2.192350340721609,98124509242214.84,0.7425875,4,1.3950050368743176,99081259761639.48,0.74808127,45,30.683208171539857,98478138832218.48,0.4647747,4,4.7684048992382175,98930211700001.5,2.5119636,1,3.786589061976309,97117703133197.31,2.8792965,3,2.97937728207883,98304050900303.19,0.7607125,1,1.1007480982983844,96478092700272.03,0.47435173,0,0.9934885428866116,98631003228746.28,0.8042819,6,3.2051988039706405,99345656858219.73,0.81448555,4,2.2388008497543765,99076560632717.61,0.8501727,7.015280797562279e-14
1,1.5433550232298288,98124509242214.84,0.7425875,1,1.082287066488675,99081259761639.48,0.74808127,7,8.545525438798961,98478138832218.48,0.4647747,4,3.8642325866212435,98930211700001.5,2.5119636,4,3.2720280443722847,97117703133197.31,2.8792965,2,2.2259570117007943,98304050900303.19,0.7607125,1,1.0294601722733887,96478092700272.03,0.47435173,2,1.2511497615370015,98631003228746.28,0.8042819,0,1.8277330023441019,99345656858219.73,0.81448555,13,8.971343230178649,99076560632717.61,0.8501727,3.558475766879417e-14
5,2.16793153458115,98124509242214.84,0.7425875,6,3.756960595883878,99081259761639.48,0.74808127,3,1.0856386471873516,98478138832218.48,0.4647747,7,5.211123008236971,98930211700001.5,2.5119636,6,6.51391140072962,97117703133197.31,2.8792965,0,1.591931220446156,98304050900303.19,0.7607125,2,2.5367956657531585,96478092700272.03,0.47435173,3,3.541638423961075,98631003228746.28,0.8042819,1,1.3543625584465366,99345656858219.73,0.81448555,4,5.55957875603125,99076560632717.61,0.8501727,3.7618172392725266e-14
0,0.9591538211568958,98124509242214.84,0.7425875,1,3.133580156587798,99081259761639.48,0.74808127,1,0.7241341908689991,98478138832218.48,0.4647747,5,3.633789752889249,98930211700001.5,2.5119636,4,3.4445639943036896,97117703133197.31,2.8792965,1,2.168643554421257,98304050900303.19,0.7607125,3,1.2356690810531337,96478092700272.03,0.47435173,0,1.7425428307394353,98631003228746.28,0.8042819,3,1.6453573006998483,99345656858219.73,0.81448555,7,4.150733883652423,99076560632717.61,0.8501727,2.5417684049138693e-14
3,1.3249599542458346,98124509242214.84,0.7425875,3,2.4689125241257557,99081259761639.48,0.74808127,4,1.6238218604660062,98478138832218.48,0.4647747,6,4.960141261638444,98930211700001.5,2.5119636,3,3.521391299839059,97117703133197.31,2.8792965,2,4.762317934530669,98304050900303.19,0.7607125,1,1.578615933813535,96478092700272.03,0.47435173,11,15.276183267011133,98631003228746.28,0.8042819,1,1.1512712193101735,99345656858219.73,0.81448555,0,1.5891006499818492,99076560632717.61,0.8501727,3.4568050306828625e-14
2,2.498025375692561,98124509242214.84,0.7425875,2,3.6847863775090315,99081259761639.48,0.74808127,2,1.4514321830699068,98478138832218.48,0.4647747,7,7.303693255371072,98930211700001.5,2.5119636,6,3.1749411678801054,97117703133197.31,2.8792965,14,14.414040445953313,98304050900303.19,0.7607125,1,0.9580248985363038,96478092700272.03,0.47435173,3,2.725898249853275,98631003228746.28,0.8042819,6,3.7133763771684736,99345656858219.73,0.81448555,1,1.5689008010924455,99076560632717.61,0.8501727,4.47351239264841e-14
